district,block,cluster,code,name,genre
koppal,kustagi,jumalapur,20201,	GLPS IDLAPUR	,Lower Primary
koppal,kustagi,koradakera,20334,	GLPS SC COLONY HIREBANNIGOL	,Lower Primary
bangalore rural,devanahalli,sadahalli,36762,GKHPS NERAGANAHALLI,Upper Primary
koppal,kustagi,adavibhavi,20126,	GHPS ADAVIBHAVI	,Upper Primary
bangalore,south-1,kengeri,32422,GKHPS VALAGEREHALLI,Upper Primary
bangalore rural,devanahalli,sadahalli,36753,GKLPS KEMPATHIMMANAHALLI,Model Primary
bangalore rural,hosakote,thavarekere,35937,G LPS LINGAPURA,Lower Primary
bangalore,bangalore south(banashankari),kaggalipura,29647,NELGULI,Anganwadi
bangalore rural,hosakote,jadigenahalli,35969,G HPS KB HOSAHALLI,Lower Primary
koppal,kustagi,adavibhavi,20137,	GLPS MALKAPUR	,Lower Primary
gadag,mundaragi,mundaragi city west,36879,GHPS SHIROL ( MUNDARAGI),Upper Primary
gadag,mundaragi,kadampur,36860,GHPS KAPPATAGIRI(DONI T),Upper Primary
gadag,mundaragi,mundaragi rural,36888,GHPS MUKTUMPUR,Upper Primary
bangalore rural,hosakote,devanagundi,35996,G UHPS MUTHKURU,Upper Primary
bangalore rural,hosakote,nelavagilu,36072,G HPS HINDIGANALA,Upper Primary
bangalore,anekal taluk,haragadde,31382,HARAGADDE A,Anganwadi
bangalore rural,hosakote,bilanarasapura,35925,G LPS GUNDRAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36632,Ramligeshwar nagar -5,Anganwadi
bangalore rural,hosakote,thavarekere,36273,GLPS BANDAHALLI,Lower Primary
bangalore,sumangali seva ashrama,murphy town,30956,SANJAYA NAGAR 1,Anganwadi
bangalore,bangalore south(banashankari),varthur,33755,VIJAYNAGAR,Anganwadi
bangalore,sumangali seva ashrama,dodda banaswadi,29614,DODDABANASWADI,Anganwadi
koppal,kustagi,sanghanal,20269,	GHPS SANGANHAL	,Upper Primary
bangalore rural,devanahalli,nalluru,36731,GKHPS BALEPURA,Model Primary
koppal,kustagi,hiregonnagar,20296,	GLPS GADACHINTI	,Lower Primary
koppal,kustagi,adavibhavi,20139,	GHPS MUDUTAGI	,Upper Primary
bangalore rural,hosakote,bendiganahalli,36025,G LPS THIMMAPPANAHALLI,Lower Primary
bangalore,sumangali seva ashrama,sultanpalya,30368,K.G.HALLI  3,Anganwadi
gadag,mundaragi,hirawaddatti,36850,GHPGS HIREWADDATTI,Upper Primary
gadag,mundaragi,shingtalur,36913,GHPS SHINGATALUR,Upper Primary
gadag,mundaragi,korlahalli,36868,GHPS KORLHALLI,Upper Primary
koppal,kustagi,mudenur,20204,	GLPS KUDLUR	,Lower Primary
bangalore rural,hosakote,kalkunte,36117,G LPS SIDDANAPURA,Lower Primary
gadag,mundaragi,meundi,36872,GHPS HAITAPUR,Upper Primary
bangalore,north-3,vasanthnagar,33143,GTLPS HOSPITAL ROAD,Lower Primary
bangalore,bangalore south(banashankari),chandrappa circle,31184,MARUTHINAGAR 1,Anganwadi
bangalore rural,hosakote,doddagattinabbe,36007,G LPS S. GUTTAHALLI,Lower Primary
bangalore,south-2,chamarajpet,32131,GTLPS CHAMARAJPET,Lower Primary
bangalore,bangalore north (yelahanka),agrahara layout,36367,JAKKUR 2,Anganwadi
bangalore,south-4,marathahalli,32687,GULPS SANJAY NAGAR,Lower Primary
bangalore,bangalore north (yelahanka),agrahara layout,31311,AGRAHARA LAYOUT 1,Anganwadi
koppal,kustagi,hiregonnagar,20310,	GLPS VARIKAL	,Lower Primary
koppal,kustagi,hanumasagar,20318,	GHPS KABBARAGI	,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36311,Valmikikshetra-2,Anganwadi
koppal,yelburga,thalakal,20452,	GMHPS TALAKAL	,Upper Primary
bangalore rural,hosakote,hosakote town,36016,G LPS AMBEDKER NAGARA,Lower Primary
gadag,mundaragi,meundi,36824,GHPS BARADUR,Model Primary
koppal,kustagi,adavibhavi,20155,	GHPS MENASAGERI	,Upper Primary
bangalore,north-4,hesarghatta,32379,GKLPS MADHUGIRIHALLI,Lower Primary
gadag,mundaragi,mundaragi city west,36876,GLPS BYALAWADAGI(MUNDARAGI),Lower Primary
koppal,kustagi,menedhal,20256,	GHPS HIREMUKARTINHAL	,Upper Primary
bangalore rural,hosakote,thavarekere,35942,G LPS PUJARAMANAHALLI,Lower Primary
bangalore,bangalore south(banashankari),kengeri circle,29593,BANGARAPPANAGAR,Anganwadi
bangalore,bangalore north (yelahanka),hesaragatta,30753,HESARAGATTA  III,Anganwadi
bangalore,south-2,kalasipalya,33822,GTLPS BELIMUTT,Upper Primary
gadag,mundaragi,mundaragi city west,36879,GHPS SHIROL ( MUNDARAGI),Upper Primary
dharwad,Hubli-Dharwad urban,Purohit Nagar,36458,Navalur Jiddi Oni,Anganwadi
gadag,mundaragi,bagewadi,36836,GHPS CHIKKAWADDATTI,Upper Primary
bangalore,north-2,hebbal,32035,GUHPS BHOOPASANDRA,Upper Primary
bangalore,sumangali seva ashrama,sultanpalya,34049,THANGAMALIA  NAGARA DODDANGARA 3,Anganwadi
koppal,kustagi,koradakera,20339,	GLPS PARASAPUR	,Lower Primary
gadag,mundaragi,petalur,36903,GHPGS HALLIKERI,Upper Primary
koppal,kustagi,hanumanal,20163,	GMHPS GUDDADA DEVALAPUR	,Upper Primary
koppal,kustagi,menedhal,20249,	GHPS BACHANAL	,Upper Primary
bangalore rural,hosakote,doddanallala,36237,GHPS DODDENAHALLI,Upper Primary
bangalore,anekal taluk,dommasanddra,36404,DOMMASANDRA VINAYAKA NAGARA,Anganwadi
bangalore,north-1,mallasandra,33285,GKHPS THOTADAGUDDADAHALLI,Upper Primary
gadag,mundaragi,kalakeri,36866,GLPS VIRUPAPUR,Lower Primary
bangalore,bangalore central,netaji 2nd circle,34101,JAGAJEEVANARAMNAGARA,Anganwadi
bangalore,bangalore north (yelahanka),abbigere,33855,KAMMAGONDANAHALLI,Anganwadi
bangalore,bangalore state,palace guttalli circle,29569,RAJAMIL HUTS,Anganwadi
bangalore,anekal taluk,jigani,30911,JIGANI D,Anganwadi
bangalore rural,hosakote,hosakote town,36021,G HPS M. V. EXTN. HOSKOTE,Upper Primary
bangalore rural,hosakote,beguru,35888,G HPS E. MUTHASANDRA,Upper Primary
koppal,kustagi,sanghanal,20257,	GHPS HIRETAMMINHAL	,Upper Primary
koppal,kustagi,chalageri,20133,	GHPS JULAKATTI	,Upper Primary
koppal,kustagi,dotihal,20147,	GLPS NAVA NAGAR HGR CALONI DOTIHAL	,Lower Primary
bangalore,bangalore north (yelahanka),sonnenahali,30861,ANANTHAPURA,Anganwadi
bangalore,bangalore north (yelahanka),agrahara layout,33850,AGRAHARA,Anganwadi
gadag,mundaragi,kadampur,36859,GLPS SHINGATARAYANAKERI,Lower Primary
koppal,kustagi,hanumasagar,20182,	GGIRLS HPS HANUMASAGAR	,Upper Primary
bangalore rural,hosakote,nandagudi,36084,G LPS CHOKKASANDRA,Lower Primary
bangalore,sumangali seva ashrama,kodihalli,30970,MALLESHANAPALYA,Anganwadi
bangalore rural,hosakote,jadigenahalli,35958,G HPS SOLURU,Upper Primary
gadag,mundaragi,meundi,36874,GHPS EKLASPUR,Upper Primary
koppal,kustagi,hanumasagar,20185,	GHPS KURABAGERI HANUMASAGAR	,Upper Primary
bangalore,anekal taluk,ballur,31528,ARAVANTIGEPURA,Anganwadi
bangalore,anekal,haragadde,32812,GKLPS SITHANAYAKANAHALLI,Lower Primary
bangalore,bangalore central,netravathi,29629,HAMEEDKHAN GARDEN,Anganwadi
bangalore,anekal,haragadde,32808,GKHPS MADAPATNA,Upper Primary
bangalore,bangalore north (yelahanka),baglur,31495,MAHADEVA KODIGE HALLI,Anganwadi
chitradurga,holalkere,ramagiri,13058,	LPS T.VADERAHALLI	,Lower Primary
koppal,kustagi,dotihal,20159,	GLPS TONASHIHAL TANDA	,Lower Primary
koppal,kustagi,hanumasagar,20184,	GHPS URDU HANUMASAGAR	,Upper Primary
bangalore rural,hosakote,bendiganahalli,36026,G LPS THENEYURU,Lower Primary
koppal,kustagi,jumalapur,20201,	GLPS IDLAPUR	,Lower Primary
bangalore rural,hosakote,doddanhulluru,36225,GHPS KURUBARAHALLI,Upper Primary
bangalore,bangalore central,sir m vishweshwariah 1st circle,33976,NAYANDANAHALLI-II,Anganwadi
bangalore,south-4,kylasanahalli,32593,GKHPS KYLASANAHALLI,Upper Primary
dharwad,Hubli-Dharwad urban,Madarmaddi,36337,Madarmaddi-1,Anganwadi
gadag,mundaragi,kalakeri,36863,GHPGS KALAKERI,Upper Primary
bangalore rural,devanahalli,devanahalli,36766,GKHPS SAROVARA BEEDI,Upper Primary
bangalore rural,hosakote,t agrahara,36241,GHPS BAVAPURA,Upper Primary
bangalore rural,hosakote,devanagundi,35993,G HPS ANUGONDANAHALLI,Upper Primary
bangalore,bangalore central,kuvempunagar 4th circle,31044,PRASHANTHANAGARA,Anganwadi
bangalore rural,hosakote,bilanarasapura,35916,G HPS KORATI,Upper Primary
bangalore,north-4,rajanakunte,32782,GKMPS BETTAHALASURU,Upper Primary
bangalore rural,hosakote,devanagundi,35991,G HPS D. HOSAHALLI,Upper Primary
gadag,mundaragi,mundaragi urdu,36894,GHPUBS MUNDARAGI,Upper Primary
koppal,kustagi,adavibhavi,20156,	GLPS MENASAGERI TANDA	,Lower Primary
bangalore,bangalore south(banashankari),chandrappa circle,31371,DODDA BASTHI,Anganwadi
bangalore rural,hosakote,jadigenahalli,36091,G ULPS CHATRIPALYA,Lower Primary
gadag,mundaragi,kalakeri,36822,GLPS TIPPAPUR,Lower Primary
bangalore,south-3,ejipura,32267,GTMPS AUSTIN TOWN,Model Primary
dharwad,Hubli-Dharwad urban,HFWTC,36528,Shiradi nagar,Anganwadi
gadag,mundaragi,kadampur,36856,GHPGS DONI,Upper Primary
koppal,kustagi,mudenur,20208,	GMHPS MUDENUR	,Upper Primary
bangalore,bangalore south(banashankari),k gollahalli,36384,HOSPALYA,Anganwadi
koppal,kustagi,kustagi,20237,	GHPS BOYS  KUSTAGI	,Upper Primary
koppal,kustagi,nilogal,20176,	GHPS VAKKANADURGA	,Upper Primary
bangalore,south-1,doddagollarahatti,33032,GKHPS DODDAGOLLARAHATTI,Upper Primary
bangalore rural,hosakote,bilanarasapura,35926,G LPS AGASARAHALLI,Lower Primary
koppal,kustagi,mudenur,20216,	GHPS TEGGIHAL	,Upper Primary
bangalore rural,hosakote,vagata,36104,G HPS KHAJI HOSAHALLI,Upper Primary
bangalore,south-4,kylasanahalli,32592,GKHPS KADUSONNAPPANAHALLI,Upper Primary
gadag,mundaragi,mundaragi urdu,36894,GHPUBS MUNDARAGI,Upper Primary
bangalore rural,hosakote,beguru,35894,G LPS BHEEMAKANAHALLI,Lower Primary
koppal,kustagi,adavibhavi,20130,	GHPS HANUMAGIRI	,Upper Primary
bangalore,bangalore south(banashankari),chandrappa circle,30525,MARUTHI NAGARA 2,Anganwadi
bangalore rural,hosakote,mugbala,36223,GLPS MYLAPURA,Lower Primary
kolar,Mallur,Tekal 2,37154,BYRATHNAHALLI,Anganwadi
bangalore,sumangali seva ashrama,kodihalli,30958,ANNASANDRAPALYA 1,Anganwadi
bellary,hospet,t.c.kamalapura,3642,GMHPS   J.CHANDRAPPA,Upper Primary
bangalore rural,hosakote,bendiganahalli,36025,G LPS THIMMAPPANAHALLI,Lower Primary
bangalore,bangalore south(banashankari),doddakannelli,36390,AMBEDAKAR NAGAR,Anganwadi
koppal,kustagi,nilogal,20162,	GHPS BOMMANHAL	,Upper Primary
bangalore,anekal,sarjapura,32955,GKLPS INDLABELE,Lower Primary
bangalore rural,hosakote,t agrahara,36239,GLPS BHUVANAHALLI,Lower Primary
bangalore rural,hosakote,hosakote town,36020,G HPS KURUBARAPETE,Upper Primary
koppal,kustagi,j.gudadoor,20311,	GHPS BADIMANHAL	,Upper Primary
gadag,mundaragi,hirawaddatti,36848,GMCS HIREWADDATTI,Model Primary
bangalore,bangalore central,netaji 2nd circle,36475,HALEGUDDADA HALLI (VENKATRAMA NAGAR),Model Primary
bangalore,bangalore central,sir m vishweshwariah 1st circle,31092,PANTARA PALYA 2,Anganwadi
bangalore,bangalore north (yelahanka),hesaragatta,31302,SHIVAKOTE 1,Anganwadi
gadag,mundaragi,mundaragi urdu,36898,GLPUS EKLASPUR,Lower Primary
bangalore,south-1,k gollahalli,31976,GKHPS DEVAGERE,Upper Primary
koppal,kustagi,bijakal,36804,GHPS VANAGERI,Upper Primary
bangalore,bangalore north (yelahanka),hesaragatta,33867,HESARAGHATTA 1,Anganwadi
bangalore rural,hosakote,t agrahara,36242,GLPS SHASHIMAKANA HALLI,Lower Primary
bangalore,bangalore south(banashankari),uttrahalli,36424,TALAGHATTA PURA 1,Anganwadi
bangalore,south-2,chamarajpet,32129,GTHPS OLD FORT,Upper Primary
bangalore,bangalore south(banashankari),byrathi,31518,MARAGONDANAHALLI,Anganwadi
bangalore,anekal,haragadde,32801,GKHPS HARAGADDE,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36525,Maruti nagar(Gokul),Anganwadi
gadag,mundaragi,bidaralli,36837,GHPS JALAWADAGI,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36612,Ghanesh nagar,Anganwadi
koppal,kustagi,hoolagera,20326,	GHPS SEBINAKATTI	,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36604,Hebbali agasi-1,Anganwadi
bangalore,bangalore north (yelahanka),abbigere,31248,KEREGUDDADAHALLI,Anganwadi
koppal,kustagi,hiremannapur,20289,	GHPS NEERALUTI	,Upper Primary
koppal,kustagi,kustagi,20239,	GHPS VIDYANAGAR KUSTAGI	,Upper Primary
bangalore rural,hosakote,bilanarasapura,35915,G HPS KARAHALLI,Upper Primary
gadag,mundaragi,petalur,36829,GLPS PETALUR(DPEP),Lower Primary
bangalore,bangalore north (yelahanka),kodigenahalli,34112,MUNESWARANAGAR,Anganwadi
koppal,kustagi,adavibhavi,20137,	GLPS MALKAPUR	,Lower Primary
koppal,kustagi,dotihal,20154,	GLPS MATUR	,Lower Primary
bangalore rural,hosakote,hosakote town,36022,G HPS DANDUPALYA,Upper Primary
koppal,kustagi,hiregonnagar,20310,	GLPS VARIKAL	,Lower Primary
bangalore,north-4,kakolu,32576,GKLPS BASAVANALINGAPPANAGAR,Lower Primary
koppal,kustagi,kustagi,20242,	GLPS URDU TEGGINONIKUSTAGI	,Lower Primary
bangalore rural,hosakote,doddanallala,36237,GHPS DODDENAHALLI,Upper Primary
bangalore,anekal taluk,haragadde,36312,MADAPATTANA C,Anganwadi
bangalore,south-4,jeevan bheema nagar,32395,GTELPS NELLURPURA,Lower Primary
bangalore,north-4,rajanakunte,32768,GKHPS RAJANKUNTE,Upper Primary
gadag,mundaragi,bagewadi,36834,GHPS BAGEWADI,Upper Primary
koppal,kustagi,chalageri,20143,	GHPS TOPALAKATTI	,Upper Primary
koppal,kustagi,bijakal,20293,	GHPS K .BODUR	,Upper Primary
bangalore,south-4,bidrahalli,32848,GKLPS KADAAGRAHARA,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36631,Gavi oni,Anganwadi
bangalore,south-1,doddagollarahatti,33036,GULPS DODDA BASTI,Upper Primary
bangalore,south-1,sunkadakatte jantha colony,33061,GKLPS PUTTAIAHNAPALYA,Lower Primary
bangalore,bangalore north (yelahanka),laggere 4th circle,34082,JALAHALLI 2,Anganwadi
bangalore rural,hosakote,sulibele,35876,GKHPS KURUBARAHATTI,Upper Primary
dharwad,Hubli-Dharwad urban,HFWTC,36526,chamundeshwari nagar,Anganwadi
bangalore rural,devanahalli,nalluru,36749,GKLPS Nallappanahalli,Model Primary
gadag,mundaragi,hirawaddatti,36849,GHPS BUDIHAL,Upper Primary
bangalore,bangalore north (yelahanka),rajanakunte,31222,PARVATHIPURA,Anganwadi
bangalore,bangalore north (yelahanka),kadugondanahalli,30586,KACHARKANAHALLI,Anganwadi
gadag,mundaragi,mundaragi urdu,36891,GLPUS HAROGERI,Upper Primary
gadag,mundaragi,meundi,36824,GHPS BARADUR,Model Primary
bangalore,bangalore central,kuvempunagar 4th circle,36586,A.D HALLI (AGHARA DASARA HALLI),Anganwadi
bangalore rural,hosakote,devanagundi,35997,G LPS YADAGONDANAHALLI,Lower Primary
koppal,kustagi,killarhatti,20225,	GLPS KILARHATTI TANDA	,Lower Primary
bangalore,south-3,konanakunte,32454,GKHPS CHUNCHAGATTA,Upper Primary
koppal,kustagi,killarhatti,20222,	GLPS KALAMALLI TANDA	,Lower Primary
gadag,mundaragi,bagewadi,36833,GHPS MURADI,Upper Primary
bangalore rural,hosakote,thavarekere,35935,G LPS KALAPPANAHALLI,Lower Primary
dharwad,Hubli-Dharwad urban,HDMC,36637,Rasul Pur -2,Anganwadi
bangalore rural,hosakote,doddanhulluru,36202,GLPS PILLAGUMPE,Lower Primary
gadag,mundaragi,mundaragi urdu,36890,GLPUS PETAALUR,Lower Primary
koppal,kustagi,hiremannapur,20282,	GLPS AKALAVAVYA HIREMANAPUR	,Lower Primary
bangalore rural,hosakote,shivanapura,36044,G HPS K SATHYAVARA,Upper Primary
gadag,mundaragi,dambal,36845,GMCS DAMBAL,Model Primary
koppal,kustagi,hiremannapur,20277,	GHPS GUDADUR .M	,Upper Primary
bangalore rural,hosakote,thavarekere,35931,G LPS YELACHAHALLI,Lower Primary
koppal,kustagi,hiremannapur,20277,	GHPS GUDADUR .M	,Upper Primary
bangalore,north-4,maralukunte,33194,GKLPS DASANAYAKANAHALLI,Lower Primary
gadag,mundaragi,meundi,36873,GLPKGS MEUNDI,Lower Primary
koppal,kustagi,hanumanal,20173,	GHPS RANGAPUR	,Upper Primary
bangalore,bangalore north (yelahanka),agrahara layout,30864,BYATARAYANAPURA 1,Anganwadi
koppal,kustagi,hoolagera,20313,	GHPS BANDRAGAL	,Upper Primary
bangalore rural,hosakote,beguru,35889,G LPS CHIKKA KOLIGA,Lower Primary
bangalore,bangalore north (yelahanka),agrahara layout,30595,BELLAHALLI,Anganwadi
bangalore rural,hosakote,thavarekere,35938,G LPS BEERAHALLI,Lower Primary
bangalore,north-3,d.j. halli,32069,GULPS MODI ROAD,Lower Primary
koppal,kustagi,menedhal,20261,	GLPS HULIYAPUR TANDA	,Lower Primary
bangalore,south-1,somanahalli,32718,GKHPS RAVGODLU,Upper Primary
bangalore,south-4,k r puram,32486,GKHPS SADARMANGALA,Upper Primary
koppal,kustagi,menedhal,20268,	GLPS RAMPUR.M	,Lower Primary
bangalore rural,hosakote,devanagundi,35992,G LPS OBALAPURA,Lower Primary
koppal,kustagi,kustagi,36796,GLPS  KUSHTAGI HANUM SAGAR ROAD,Lower Primary
bangalore rural,hosakote,jadigenahalli,35965,G LPS BELAMANGALA,Lower Primary
koppal,kustagi,mudenur,20198,	GLPS  BANNATTI	,Lower Primary
koppal,kustagi,hanumasagar,20314,	GHPS BEELAGI	,Upper Primary
bangalore rural,hosakote,thavarekere,35936,G HPS THAVAREKERE,Upper Primary
koppal,kustagi,hiregonnagar,20306,	GHPS NARASAPUR	,Upper Primary
koppal,kustagi,hanumanal,20163,	GMHPS GUDDADA DEVALAPUR	,Upper Primary
koppal,kustagi,adavibhavi,20137,	GLPS MALKAPUR	,Lower Primary
gadag,mundaragi,dambal,36844,GHPS DPEP DAMBAL,Upper Primary
bangalore,sumangali seva ashrama,sultanpalya,36345,SEETAPPA LAYOUT,Anganwadi
bangalore rural,hosakote,bilanarasapura,36229,GLPS ULAVANAHALLI,Lower Primary
bangalore,bangalore central,Manjunatheshwar circle-7,30835,LAKSHMANRAO NAGAR,Anganwadi
bangalore,bangalore central,kuvempunagar 4th circle,30795,SANJAYGANDHI NAGAR,Anganwadi
dharwad,Hubli-Dharwad urban,Purohit Nagar,36303,Purohit Nagar,Anganwadi
bangalore,south-1,doddagollarahatti,33030,GKLPS DUBASIPALYA,Lower Primary
koppal,kustagi,jumalapur,20200,	GHPS HAGALADAL	,Upper Primary
koppal,kustagi,kustagi,36798,LPS SHARIF NAGAR KUSTAGI,Lower Primary
bangalore rural,hosakote,bendiganahalli,36070,GHPS ITTASANDRA,Upper Primary
bangalore,north-4,nagavara,32181,GULPS GOVINDAPURA,Lower Primary
bangalore,bangalore north (yelahanka),rajanakunte,31543,ITAGAL PURA,Anganwadi
gadag,mundaragi,petalur,36906,GLPGS HALLIGUDI,Lower Primary
bangalore,north-3,oph road,32613,GULPS MACKAN ROAD,Lower Primary
bangalore rural,hosakote,bilanarasapura,36230,GLPS OBALAHALLI,Lower Primary
koppal,kustagi,thavaragera,20234,	GLPS.Krisnagiri .Tavaragera	,Lower Primary
bangalore,bangalore north (yelahanka),kadugondanahalli,33888,BAIRANAKUNTE - 2,Anganwadi
bangalore,bangalore north (yelahanka),kodigenahalli,33905,SANJEEVAPPA COLONY,Anganwadi
koppal,koppal,halageri,20026,	GMHPS HALAGERI	,Upper Primary
gadag,mundaragi,mundaragi city west,36878,GHPGS MUNDARAGI,Upper Primary
bangalore,bangalore south(banashankari),byrathi,30951,AVALAHALLI,Anganwadi
gadag,mundaragi,kadampur,36857,GHPS CHURCHIHAL,Upper Primary
gadag,mundaragi,bidaralli,36837,GHPS JALAWADAGI,Upper Primary
bangalore rural,hosakote,bilanarasapura,35922,G HPS HEDAKANAHALLI,Upper Primary
bangalore,south-1,ramasandra,32533,GKHPS RAMASANDRA (RAMASANDRA),Upper Primary
bangalore,bangalore north (yelahanka),abbigere,36358,KALANAGAR KG HALLI 2,Anganwadi
gadag,mundaragi,meundi,36872,GHPS HAITAPUR,Upper Primary
bangalore,bangalore north (yelahanka),kodigenahalli,34085,KAVAL BAIRASANDRA 2,Anganwadi
bangalore rural,hosakote,samethanahalli,35977,G HPS BHODHANA HOSAHALLI,Upper Primary
koppal,kustagi,koradakera,20336,	GHPS KANAKOPPA	,Upper Primary
dharwad,Hubli-Dharwad urban,HDMC,36634,Medar Oni,Anganwadi
gadag,mundaragi,mundaragi urdu,36892,GHPUGS MUNDARAGI,Upper Primary
bangalore rural,hosakote,nandagudi,36076,G HPS NANDAGUDI,Upper Primary
bangalore rural,hosakote,beguru,35891,G HPS BEGURU,Upper Primary
bangalore,bangalore south(banashankari),k.r.puram,33965,HEGGADENAGAR-I,Anganwadi
bangalore,north-3,kaval byrasandra,33156,GKLPS VENKATESHPURA,Lower Primary
bangalore,north-3,frazer town,32688,GKHPS  JAI BHARTHA NAGAR,Upper Primary
bangalore,bangalore north (yelahanka),chikkajala,34004,MUTTUGADA HALLI,Anganwadi
bangalore,north-3,pottery town,32694,GKMPS POTTERYTOWN,Model Primary
bangalore rural,hosakote,hosakote town,36015,G LPS SIDDARTHA NAGARA,Lower Primary
bangalore rural,hosakote,sulibele,35882,GKHPS ATTIBELE,Upper Primary
gadag,mundaragi,mundaragi urdu,36898,GLPUS EKLASPUR,Lower Primary
gadag,mundaragi,kadampur,36860,GHPS KAPPATAGIRI(DONI T),Upper Primary
bangalore rural,hosakote,thavarekere,35932,G ULPS YELACHAHALLI,Lower Primary
gadag,mundaragi,mundaragi city west,36877,GMCS MUNDARAGI,Model Primary
bangalore,bangalore north (yelahanka),hesaragatta,30731,MAVALIPURA,Anganwadi
bangalore,north-4,chikkajala,33253,GKLPS BYNAHALLI,Lower Primary
bangalore rural,hosakote,doddanhulluru,36203,GHPS DASARAHALLI,Upper Primary
koppal,kustagi,mudenur,20202,	GHPS JALIHAL	,Upper Primary
bangalore,south-1,kengeri,32428,GKLPS HEMMIGEPURA,Lower Primary
gadag,mundaragi,hirawaddatti,36848,GMCS HIREWADDATTI,Model Primary
bangalore,sumangali seva ashrama,koramangala,30373,AMBED NAGAR,Anganwadi
koppal,kustagi,koradakera,20336,	GHPS KANAKOPPA	,Upper Primary
bangalore rural,hosakote,jadigenahalli,35971,G HPS KOLATHURU,Upper Primary
bangalore rural,devanahalli,devanahalli,36765,GKHPS KORACHARAPALYA,Upper Primary
gadag,mundaragi,korlahalli,36868,GHPS KORLHALLI,Upper Primary
bangalore,south-3,beratena agrahara,33094,GKLPS DODDAKAMMANAHALLI,Lower Primary
bangalore,bangalore north (yelahanka),agrahara layout,30628,DWARAKANAGARA,Anganwadi
bangalore,bangalore central,sir m vishweshwariah 1st circle,30432,SANJAYNAGAR 2,Anganwadi
bangalore rural,hosakote,sulibele,35883,GKHPS YANAGUNTE,Upper Primary
bangalore rural,hosakote,devanagundi,35990,G LPS D.MEDAHALLI,Lower Primary
bangalore,bangalore central,sir m vishweshwariah 1st circle,31481,F.R.NAGARA 1,Anganwadi
bangalore,south-4,channasandra,32061,GKLPS BEVINAMARA COLONY,Lower Primary
dharwad,Hubli-Dharwad urban,HFWTC,36506,Siddeshwar ashray colony,Anganwadi
bangalore,bangalore central,kuvempunagar 4th circle,31479,ATHIGUPPE,Anganwadi
bangalore,bangalore north (yelahanka),hesaragatta,31322,KONDASHETTIHALLI,Anganwadi
bangalore,bangalore north (yelahanka),abbigere,33940,DODDA BOMMASANDRA,Anganwadi
bangalore,bangalore north (yelahanka),kadugondanahalli,33938,BASAVANAGAR,Anganwadi
bangalore,bangalore north (yelahanka),agrahara layout,30853,KOGILU LAYOUT  1,Anganwadi
bangalore rural,devanahalli,devanahalli,36735,GKHPBS KOTE,Upper Primary
bangalore,bangalore south(banashankari),byrathi,36566,CHIKKA GUBBI,Anganwadi
gadag,mundaragi,hirawaddatti,36853,GHPS BASAPUR,Upper Primary
bangalore rural,devanahalli,nalluru,36723,GKHPS Biddalapura,Upper Primary
bangalore,anekal taluk,ballur,33953,M.MEDAHALLI,Anganwadi
bangalore rural,hosakote,devanagundi,35996,G UHPS MUTHKURU,Upper Primary
koppal,kustagi,hanumanal,20164,	GMHPS HANUMANHAL	,Upper Primary
bangalore,north-4,chikkajala,33264,GKHPS DODDAJALA,Upper Primary
koppal,kustagi,chalageri,20134,	GLPS JUNJALAKOPPA	,Lower Primary
bangalore,anekal,haragadde,32805,GKLPS DYAVASANDRA,Lower Primary
bangalore,bangalore north (yelahanka),kodigenahalli,31291,KODIGEHALLI- 2,Anganwadi
bangalore,anekal taluk,sarjapura,33706,TYAVAKANAHALLI,Anganwadi
bangalore rural,hosakote,doddagattinabbe,36003,G HPS JINNAGARA,Upper Primary
bangalore,bangalore north (yelahanka),baglur,31492,MYLANA HALLI,Anganwadi
koppal,kustagi,hanumanal,20301,	GHPS KADIVAL	,Upper Primary
bangalore,north-4,t dasarahalli,32833,GKHPS KALASTHRINAGAR,Upper Primary
bangalore rural,hosakote,jadigenahalli,35967,G LPS HARALURU,Lower Primary
bellary,bellary west,bandihatti bellary,3169,GLPS    JANEKUNTE THANDA (W),Lower Primary
dharwad,Hubli-Dharwad urban,Purohit Nagar,36482,Hattikolla-2,Anganwadi
bangalore rural,hosakote,doddanhulluru,36214,GLPS CHIKKA NALLURAHALLI,Lower Primary
bangalore rural,hosakote,bendiganahalli,36028,G LPS DYAVASANDRA,Lower Primary
bangalore,sumangali seva ashrama,kodihalli,30657,SHREERAMANAGARI,Anganwadi
koppal,kustagi,bijakal,20149,	GLPS HESARURU	,Lower Primary
koppal,kustagi,nilogal,20168,	GHPS MITTALAKOD	,Upper Primary
bangalore,anekal,attibele,32220,GKMPS MAYASANDRA,Model Primary
koppal,kustagi,hiregonnagar,20299,	GHPS HIREGONNAGAR	,Upper Primary
koppal,kustagi,dotihal,20148,	GHPS GOTAGI	,Upper Primary
koppal,kustagi,menedhal,20251,	GLPS CHIKKATAMMINHAL	,Lower Primary
koppal,kustagi,koradakera,20330,YYY GHPS BYALIHAL,Upper Primary
gadag,mundaragi,mundaragi east,36881,GHPS KOTEMUNDARAGI,Upper Primary
